SPEED [rad/s],TORQUE [Nm],EFFY [%],JLossTot [W],,SLIP,FREQUENCY [Hz],SA [W],V [V],I [A],JLossStat [W],JLossRotor [W],UsefulPower [W],IronLosses [W]
13.21768837,21.93886121,3.623169427,7705.256861,,9.816326531,4.66528,10213.64818,9.275847989,367.0337632,7673.692961,31.56390038,289.9810307,5.577938908
18.68993573,3.570540482,64.22623883,34.43439425,,6.142857143,6.33856,222.7013289,3.231129235,22.97456119,30.06677415,4.367620093,66.73317212,1.655148551
23.65024268,48.6186191,4.427373425,24803.65185,,9.632653061,8.33056,35494.43582,17.97434571,658.2425196,24681.08512,122.5667322,1149.842141,12.004762
24.14082477,14.16939398,51.69956536,309.9623485,,5.959183673,8.1712,1617.812442,7.580378094,71.14035834,288.2866171,21.67573139,342.0608571,5.956417098
41.55001118,6.130481004,70.64549315,93.36472034,,2.102040816,13.50976,1206.035852,10.23415706,39.2813935,87.895402,5.469318343,254.7215543,7.457769162
49.48529323,11.41203368,82.61563276,111.5522011,,7.428571429,17.01568,873.4909545,8.538687165,34.09934641,66.23453546,45.31766561,564.727833,4.501880847
54.92376834,22.97713932,83.11991566,242.4607803,,7.244897959,18.84832,1943.223996,12.88793603,50.25950864,143.88942,98.57136028,1261.991077,8.597282354
60.38339311,36.44931982,83.09727588,426.2407432,,7.06122449,20.68096,3487.049361,17.23718488,67.43269245,259.0200519,167.2206913,2200.933607,13.41861858
67.84876635,7.219780219,87.52679834,59.64202266,,3.387755102,22.35424,916.783618,11.19246613,27.30359295,42.4650839,17.17693876,489.8531812,6.163710343
73.55069269,12.21904827,87.90143493,106.6759947,,3.204081633,24.18688,1713.419534,15.54171499,36.74883017,76.92711095,29.7488838,898.7194641,10.38077409
93.2530056,8.573197022,88.70185893,92.63575592,,4.857142857,31.19872,1099.473205,12.1507752,30.16194952,51.82164592,40.81411,799.47639,5.664025525
98.92136835,14.4357767,89.09383586,159.7564637,,4.673469388,33.03136,1964.807229,16.50002406,39.69301744,89.74713947,70.00932428,1428.006785,9.322087142
110.3215428,28.09254563,89.74033117,324.9577378,,4.306122449,36.69664,4313.878788,25.19852178,57.06523615,185.4964586,139.4612792,3099.212977,18.3479863
115.8310302,36.73805036,89.74708608,448.6567898,,4.306122449,38.52928,5956.049319,29.54777064,67.19118668,257.1680476,191.4887422,4255.406219,23.544471
122.204666,0.1673830907,90.39406471,1.481679435,,2.469387755,39.88384,33.50440428,2.715116658,4.113316725,0.9637772886,0.5179021465,20.4549947,0.365804682
145.2104884,7.012415011,92.88205375,60.67264005,,2.102040816,47.2144,1574.874582,20.1121121,26.10159448,38.80846462,21.86417542,1018.276209,10.72392599
